monkey-SL-E-k4.clu	VAR 	cluster 3 	(500 objects):	2.48604
monkey-SL-E-k4.clu	VAR 	cluster 4 	(1500 objects):	3.89319
monkey-SL-E-k4.clu	SIL 	cluster 1 	(1000 objects):	0.685598
monkey-SL-E-k4.clu	SIL 	cluster 2 	(1000 objects):	0.666118
monkey-SL-E-k4.clu	SIL 	cluster 3 	(500 objects):	0.555103
monkey-SL-E-k4.clu	SIL 	cluster 4 	(1500 objects):	-0.0214627
monkey-KM-E-k5-Run4.clu	CON 	cluster 2 	(759 objects):	765.058
monkey-KM-E-k5-Run4.clu	CON 	cluster 4 	(953 objects):	211.459
monkey-KM-E-k5-Run4.clu	CON 	cluster 1 	(1254 objects):	751.456
monkey-KM-E-k5-Run4.clu	CON 	cluster 5 	(534 objects):	38.5705
monkey-KM-E-k5-Run4.clu	CON 	cluster 3 	(500 objects):	24.4909
monkey-KM-E-k5-Run4.clu	DEV 	cluster 2 	(759 objects):	4395.04
monkey-KM-E-k5-Run4.clu	DEV 	cluster 4 	(953 objects):	3019.97
monkey-KM-E-k5-Run4.clu	DEV 	cluster 1 	(1254 objects):	5928.1
monkey-KM-E-k5-Run4.clu	DEV 	cluster 5 	(534 objects):	2177.79
monkey-KM-E-k5-Run4.clu	DEV 	cluster 3 	(500 objects):	1937.17
monkey-KM-E-k5-Run4.clu	VAR 	cluster 2 	(759 objects):	2.40636
monkey-KM-E-k5-Run4.clu	VAR 	cluster 4 	(953 objects):	1.78014
monkey-KM-E-k5-Run4.clu	VAR 	cluster 1 	(1254 objects):	2.17425
monkey-KM-E-k5-Run4.clu	VAR 	cluster 5 	(534 objects):	2.01947
monkey-KM-E-k5-Run4.clu	VAR 	cluster 3 	(500 objects):	1.96833
monkey-KM-E-k5-Run4.clu	SIL 	cluster 2 	(759 objects):	0.678774
monkey-KM-E-k5-Run4.clu	SIL 	cluster 4 	(953 objects):	0.77702
monkey-KM-E-k5-Run4.clu	SIL 	cluster 1 	(1254 objects):	0.705333
monkey-KM-E-k5-Run4.clu	SIL 	cluster 5 	(534 objects):	0.829156
monkey-KM-E-k5-Run4.clu	SIL 	cluster 3 	(500 objects):	0.838975
monkey-KM-E-k12-Run22.clu	CON 	cluster 8 	(436 objects):	135.909
monkey-KM-E-k12-Run22.clu	CON 	cluster 6 	(510 objects):	114.239
monkey-KM-E-k12-Run22.clu	CON 	cluster 2 	(266 objects):	122.293
